ID	Family	Genus	Species	Part	matched_name	taxon.synonyms	NCBITaxonomy	ott_id	query_otol_kingdom	query_otol_phylum	query_otol_class	query_otol_order	query_otol_family	query_otol_genus	query_otol_species
Calycophyllum candidissimum|L	rubiaceae	Calycophyllum	calycophyllum candidissimum	L	Calycophyllum candidissimum	"['Macrocnemum candidissimum', 'Mussaenda candida', 'Mussaenda candidissima']"	43450|Calycophyllum candidissimum	9114	Archaeplastida	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Calycophyllum	Calycophyllum candidissimum
Merremia umbellata|WP	convolvulaceae	Merremia	merremia umbellata	WP	Merremia umbellata	"['Amphione cymosa', 'Camonea bifida', 'Convolvulus aristolochiifolius', 'Convolvulus bifidus', 'Convolvulus blandus', 'Convolvulus caliginosus', 'Convolvulus caracasanus', 'Convolvulus cymosus', 'Convolvulus densiflorus', 'Convolvulus flavus', 'Convolvulus havanensis', 'Convolvulus lotnoha', 'Convolvulus millerianus', 'Convolvulus multiflorus', 'Convolvulus pentagonus', 'Convolvulus rothii', 'Convolvulus sagittifer', 'Convolvulus umbellatus', 'Fraxima umbellata', 'Ipomoea bifida', 'Ipomoea blanda', 'Ipomoea cymosa', 'Ipomoea cymosa macra', 'Ipomoea heynei', 'Ipomoea longipes', 'Ipomoea micans', 'Ipomoea mollicoma', 'Ipomoea multiflora', 'Ipomoea oenotheriflora', 'Ipomoea pentagona', 'Ipomoea polyanthes', 'Ipomoea portobellensis', 'Ipomoea primuliflora', 'Ipomoea rothii', 'Ipomoea sagittifera', 'Ipomoea sagittoides', 'Ipomoea umbellata', 'Merremia rondoniana', 'Merremia umbellata', 'Merremia umbellata cochleata', 'Merremia umbellata macra', 'Merremia umbellata orientalis', 'Merremia umbellata rotundifolia', 'Tirtalia umbellata']"	197417|Camonea umbellata	530880	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Convolvulaceae	Camonea	Camonea umbellata
Canavalia rosea|WP	fabaceae/pap.	Canavalia	canavalia rosea	WP	Canavalia rosea	"['Canavaia lineata', 'Canavaia maritima', 'Canavali maritima', 'Canavalia apiculata', 'Canavalia arenicola', 'Canavalia baueriana', 'Canavalia emarginata', 'Canavalia lineata', 'Canavalia maritima', 'Canavalia miniata', 'Canavalia moneta', 'Canavalia obcordata', 'Canavalia obtusifolia', 'Canavalia obtusifolia emarginata', 'Canavalia obtusifolia insularis', 'Canavalia podocarpa', 'Clitoria rotundifolia', 'Dolichos emarginatus', 'Dolichos littoralis', 'Dolichos maritimus', 'Dolichos miniatus', 'Dolichos obcordatus', 'Dolichos obovatus', 'Dolichos obtusifolius', 'Dolichos roseus', 'Dolichos rotundifolius']"	3825|Canavalia rosea	612435	Archaeplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Canavalia	Canavalia rosea
Carludovica drudei|L	cyclanthaceae	Carludovica	carludovica drudei	L	Carludovica drudei	"['Carludovica speciosa', 'Carludovica tabascana']"	263444|Carludovica drudei	375173	Archaeplastida	Streptophyta	Magnoliopsida	Pandanales	Cyclanthaceae	Carludovica	Carludovica drudei
Cassia grandis|L	fabaceae/caes.	Cassia	cassia grandis	L	Cassia grandis	"['Bactyrilobium grande', 'Bactyrilobium molle', 'Cassia brasiliana', 'Cassia brasiliana tomentosa', 'Cassia brasiliensis', 'Cassia mollis', 'Cassia pachycarpa', 'Cathartocarpus brasilianus', 'Cathartocarpus erubescens', 'Cathartocarpus grandis']"	162709|Cassia grandis	380064	Archaeplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cassia	Cassia grandis
Castilleja talamancensis|WP	scrophulariaceae	Castilleja	castilleja talamancensis	WP	Castilleja talamancensis	[]		6087966	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Orobanchaceae	Castilleja	Castilleja talamancensis
Catharanthus roseus|WP	apocynaceae	Catharanthus	catharanthus roseus	WP	Catharanthus roseus	"['Ammocallis rosea', 'Lochnera rosea', 'Lochnera rosea flava', 'Pervinca rosea', 'Vinca gulielmi-waldemarii', 'Vinca rosea', 'Vinca rosea albiflora', 'Vinca speciosa']"	4058|Catharanthus roseus	524094	Archaeplastida	Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Catharanthus	Catharanthus roseus
Cavendishia callista|WP	ericaceae	Cavendishia	cavendishia callista	WP	Cavendishia callista	"['Cavendishia amalfiensis', 'Cavendishia bullata', 'Cavendishia duidae', 'Cavendishia gleasoniana', 'Cavendishia hispida', 'Cavendishia longiflora', 'Cavendishia phelpsiae', 'Cavendishia praestans', 'Cavendishia salicifolia']"	1690169|Cavendishia callista	5759733	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Ericaceae	Cavendishia	Cavendishia callista
Cecropia peltata|L	cecropiaceae	Cecropia	cecropia peltata	L	Cecropia peltata	"['Ambaiba humboldtiana', 'Ambaiba peltata', 'Ambaiba propinqua', 'Ambaiba schiedeana', 'Ambaiba surinamensis', 'Cecropia arachnoidea', 'Cecropia asperrima', 'Cecropia dielsiana', 'Cecropia digitata grisea', 'Cecropia goodspeedii', 'Cecropia hondurensis', 'Cecropia humboldtiana', 'Cecropia propinqua', 'Cecropia scabrifolia', 'Cecropia schiedeana', 'Cecropia surinamensis']"	210352|Cecropia peltata	266711	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Urticaceae	Cecropia	Cecropia peltata
Celtis iguanaea|WP	ulmaceae	Celtis	celtis iguanaea	WP	Celtis iguanaea	"['? iguanea', 'Celtidopsis citrifolia', 'Celtis aculeata', 'Celtis aculeata laevigata', 'Celtis aculeata pubescens', 'Celtis aculeata serrata', 'Celtis alnifolia', 'Celtis anfractuosa', 'Celtis asperula', 'Celtis berlandieri', 'Celtis biflora', 'Celtis brevifolia', 'Celtis dichotoma', 'Celtis diffusa', 'Celtis epiphylladena', 'Celtis flexuosa glabrifolia', 'Celtis gardneri', 'Celtis glabrata', 'Celtis glycycarpa', 'Celtis goudotii', 'Celtis hilariana', 'Celtis iguanaeus', 'Celtis laevigata', 'Celtis membranacea', 'Celtis morifolia', 'Celtis pavonii', 'Celtis platycaulis', 'Celtis pubescens', 'Celtis rhamnoides', 'Celtis spinosa', 'Celtis spinosissima', 'Celtis triflora', 'Celtis velutina', 'Celtis williamsii', 'Celtis zizyphoides', 'Colletia iguanaea', 'Mertensia aculeata', 'Mertensia citrifolia', 'Mertensia commutata', 'Mertensia goudotii', 'Mertensia iguanaea', 'Mertensia laevigata', 'Mertensia pubescens', 'Mertensia rhamnoides', 'Mertensia zizyphoides', 'Momisia aculeata', 'Momisia alnifolia', 'Momisia anfractuosa', 'Momisia brevifolia', 'Momisia dichotoma', 'Momisia iguanaea', 'Momisia laevigata', 'Momisia membranacea', 'Momisia pubescens', 'Momisia spinosissima', 'Momisia tarijensis', 'Momisia triflora', 'Momisia zizyphoides', 'Plagioceltis dichotoma', 'Rhamnus iguanaea', 'Saurobroma iguanense', 'Ziziphus commutata', 'Ziziphus iguanea']"	258491|Celtis iguanaea	893812	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Cannabaceae	Celtis	Celtis iguanaea
Centropogon valerii|WP	campanulaceae	Centropogon	centropogon valerii	WP	Centropogon valerii	"['Centropogon grandidentatus valerii', 'Centropogon stenophyllus', 'Centropogon valeri', 'Centropogon valerii kupperi', 'Centropogon valerioi']"	671250|Centropogon valerii	546743	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Campanulaceae	Centropogon	Centropogon valerii
Centrosema plumieri|WP	fabaceae/pap.	Centrosema	centrosema plumieri	WP	Centrosema plumieri	"['Bradburya plumieri', 'Centrosema plumeri', 'Centrosema plumiere', 'Clitoria plumieri', 'Cruminium giganteum']"	630757|Centrosema plumieri	3922077	Archaeplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Centrosema	Centrosema plumieri
Cespedesia macrophylla|L	ochnaceae	Cespedesia	cespedesia macrophylla	L	Cespedesia macrophylla	"['Cespedesia amazonica', 'Cespedesia bonplandii', 'Cespedesia brasiliana', 'Cespedesia macrophylla', 'Cespedesia repanda', 'Cespedesia repanda (Bonpl. ex Kunth) Tiegh.', 'Cespedesia scandens', 'Cespedesia sprucei', 'Elvasia spathulata', 'Fournieria scandens', 'Godoya repanda', 'Godoya scandens', 'Godoya spathulata']"	179739|Cespedesia spathulata	162676	Archaeplastida	Streptophyta	Magnoliopsida	Malpighiales	Ochnaceae	Cespedesia	Cespedesia spathulata
Cestrum microcalix|AE	solanaceae	Cestrum	cestrum microcalix	AE	Cestrum microcalyx	"['Cestrum donnell-smithii', 'Cestrum silvaticum', 'Cestrum tenuissimum']"		6091475	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Cestrum	Cestrum microcalyx
Cestrum strigilatum|L	solanaceae	Cestrum	cestrum strigilatum	L	Cestrum strigilatum	"['Cestrum aristeguietae', 'Cestrum calycinum', 'Cestrum calycinum brevitubulata', 'Cestrum calycinum tenuiflorum', 'Cestrum cancellatum', 'Cestrum impressum', 'Cestrum longifolium', 'Cestrum lundianum', 'Cestrum sesseoides', 'Cestrum strigillatum', 'Cestrum strigillatum calycinum', 'Cestrum strigillatum laxiflorum', 'Cestrum strigillatum tenuiflorum', 'Cestrum unibracteatum', 'Cestrum unibracteatum brachystachys', 'Cestrum viridiflorum', 'Sessea rugosa']"	295493|Cestrum strigilatum	275967	Archaeplastida	Streptophyta	Magnoliopsida	Solanales	Solanaceae	Cestrum	Cestrum strigilatum
Chaetolepis cufodontisii|WP	melastomataceae	Chaetolepis	chaetolepis cufodontisii	WP	Chaetolepis cufodontisii	[]	1160541|Chaetolepis cufodontisii	123428	Archaeplastida	Streptophyta	Magnoliopsida	Myrtales	Melastomataceae	Chaetolepis	Chaetolepis cufodontisii
Chionolaena lavandulifolia|WP	asteraceae	Chionolaena	chionolaena lavandulifolia	WP	Chionolaena lavandulifolia	"['Chionolaena costaricensis', 'Chionolaena macdonaldii', 'Gnaphaliothamnus costaricensis', 'Gnaphaliothamnus lavandulifolius', 'Gnaphaliothamnus macdonaldii', 'Gnaphalium lavandulaceum', 'Gnaphalium lavandulifolium', 'Helichrysum lavandulifolium']"	211061|Chionolaena lavandulifolia	386039	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Chionolaena	Chionolaena lavandulifolia
Chomelia microloba|L	rubiaceae	Chomelia	chomelia microloba	L	Chomelia microloba	"['Anisomeris microloba', 'Chione chambersii', 'Chomelia peninsularis']"		3880851	Archaeplastida	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Chomelia	Chomelia microloba
Chrysophyllum argenteum|L	sapotaceae	Chrysophyllum	chrysophyllum argenteum	L	Chrysophyllum argenteum	"['Chrysophyllum auratum', 'Chrysophyllum dubium', 'Chrysophyllum ferrugineum', 'Chrysophyllum glabrum', 'Chrysophyllum guyanense', 'Chrysophyllum hostmannianum', 'Chrysophyllum immersum', 'Chrysophyllum macrophyllum', 'Chrysophyllum microcarpum', 'Chrysophyllum nitidissimum', 'Chrysophyllum nitidum', 'Chrysophyllum panamense', 'Chrysophyllum pavonii', 'Chrysophyllum psilophyllum', 'Chrysophyllum pyriforme', 'Chrysophyllum richardii', 'Chrysophyllum sericeum', 'Cynodendron argenteum', 'Cynodendron auratum', 'Cynodendron ferrugineum', 'Cynodendron nitidum', 'Cynodendron panamense', 'Dactimala microcarpa', 'Guersentia microcarpa', 'Nycterisition ferrugineum', 'Sideroxylon guadalupense']"	233671|Chrysophyllum argenteum	163428	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Sapotaceae	Chrysophyllum	Chrysophyllum argenteum
Chusquea subtessellata|AE	poaceae	Chusquea	chusquea subtessellata	AE	Chusquea subtessellata	['Swallenochloa subtessellata']	47440|Chusquea subtessellata	426543	Archaeplastida	Streptophyta	Magnoliopsida	Poales	Poaceae	Chusquea	Chusquea subtessellata
Cinnamomum cinnamomifolium|AE	lauraceae	Cinnamomum	cinnamomum cinnamomifolium	AE	Cinnamomum cinnamomifolium	[]	128605|Cinnamomum cinnamomifolium	445168	Archaeplastida	Streptophyta	Magnoliopsida	Laurales	Lauraceae	Cinnamomum	Cinnamomum cinnamomifolium
Cissus trianae|WP	vitaceae	Cissus	cissus trianae	WP	Cissus trianae	"['Cissus martinianus', 'Cissus trianae martiniana']"	1148083|Cissus trianae	665801	Archaeplastida	Streptophyta	Magnoliopsida	Vitales	Vitaceae	Cissus	Cissus trianae
Cissus verticillata|WP	vitaceae	Cissus	cissus verticillata	WP	Cissus verticillata	['Cissus sicyoides']	289665|Cissus verticillata	578906	Archaeplastida	Streptophyta	Magnoliopsida	Vitales	Vitaceae	Cissus	Cissus verticillata
Clarisia biflora|AE	moraceae	Clarisia	clarisia biflora	AE	Clarisia biflora	"['Clarisia colombiana', 'Clarisia mattogrossensis', 'Clarisia mexicana', 'Clarisia panamensis', 'Sahagunia colombiana', 'Sahagunia mexicana']"	241874|Clarisia biflora	892913	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Moraceae	Clarisia	Clarisia biflora
Clarisia racemosa|L	moraceae	Clarisia	clarisia racemosa	L	Clarisia racemosa	"['Clarisia nitida', 'Soaresia nitida', 'Sorocea nitida']"	871999|Clarisia racemosa	6108003	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Moraceae	Clarisia	Clarisia racemosa
Clethra lanata|AE	clethraceae	Clethra	clethra lanata	AE	Clethra lanata	"['Clethra augustinensis', 'Clethra bimatris', 'Clethra broadwayana', 'Clethra confertifolia', 'Clethra costaricensis', 'Clethra integerrima', 'Clethra integrifolia', 'Clethra integrifolia publ', 'Clethra kenoyeri', 'Clethra lanata', 'Clethra michoacana', 'Clethra nicaraguensis', 'Clethra ovalifolia', 'Clethra ovalifolia publ', 'Clethra panamensis', 'Clethra quercifolia', 'Clethra salvadorensis', 'Clethra smithii', 'Kowalewskia integerrima']"	168116|Clethra mexicana	300595	Archaeplastida	Streptophyta	Magnoliopsida	Ericales	Clethraceae	Clethra	Clethra mexicana
Clidemia ciliata|WP	melastomataceae	Clidemia	clidemia ciliata	WP	Clidemia ciliata	['Calophysa ciliata']	263232|Clidemia ciliata	756992	Archaeplastida	Streptophyta	Magnoliopsida	Myrtales	Melastomataceae	Clidemia	Clidemia ciliata
Cnestidium rufescens|WP	connaraceae	Cnestidium	cnestidium rufescens	WP	Cnestidium rufescens	['Rourea hondurensis']	1504158|Cnestidium rufescens	5748984	Archaeplastida	Streptophyta	Magnoliopsida	Oxalidales	Connaraceae	Cnestidium	Cnestidium rufescens
Cnidoscolus urens|WP	euphorbiaceae	Cnidoscolus	cnidoscolus urens	WP	Cnidoscolus urens	"['Bivonea stimulosa', 'Bivonea urens', 'Cnidoscolus adenophilus', 'Cnidoscolus herbaceus', 'Cnidoscolus loefgrenii', 'Cnidoscolus marcgravii', 'Cnidoscolus mexicanus', 'Cnidoscolus michauxii', 'Cnidoscolus neglectus', 'Cnidoscolus osteocarpus', 'Cnidoscolus stimulosus', 'Cnidoscolus tenuifolius', 'Janipha urens', 'Jatropha adenophila', 'Jatropha herbacea', 'Jatropha loefgrenii', 'Jatropha neglecta', 'Jatropha osteocarpa', 'Jatropha stimulosa', 'Jatropha stipulosa', 'Jatropha tenuifolia', 'Jatropha urens', 'Jatropha urens genuina', 'Jussieuia herbacea', 'Manihot herbacea', 'Manihot urens']"	316878|Cnidoscolus urens	607945	Archaeplastida	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Cnidoscolus	Cnidoscolus urens
Cojoba arborea|L	fabaceae/mim.	Cojoba	cojoba arborea	L	Cojoba arborea	"['Acacia arborea', 'Cojoba austrina', 'Cojoba colombiana', 'Cojoba guatemalensis', 'Cojoba matudai', 'Cojoba tonduzii', 'Cojoba tuerckheimii', 'Mimosa arborea', 'Mimosa filicifolia', 'Pithecellobium arboreum', 'Pithecellobium cubense', 'Pithecellobium filicifolium', 'Pithecellobium vulcanorum', 'Pithecolobium arboreum', 'Pithecolobium austrinum', 'Pithecolobium matudai', 'Pithecolobium tonduzii', 'Pithecolobium tuerckheimii', 'Pithecolobium vulcanorum', 'Samanea arborea']"	466220|Cojoba arborea	337227	Archaeplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cojoba	Cojoba arborea
Colubrina spinosa|WP	rhamnaceae	Colubrina	Colubrina spinosa	WP	Colubrina spinosa	"['Colubrina ovalifolia', 'Colubrina panamensis', 'Cormonema ovalifolium']"	1125386|Colubrina spinosa	892731	Archaeplastida	Streptophyta	Magnoliopsida	Rosales	Rhamnaceae	Colubrina	Colubrina spinosa
Columnea nicaraguensis|WP	gesneriaceae	Columnea	columnea nicaraguensis	WP	Columnea nicaraguensis	[]	1125390|Columnea nicaraguensis	318274	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Gesneriaceae	Columnea	Columnea nicaraguensis
Conostegia setosa|WP	melastomataceae	Conostegia	conostegia setosa	WP	Conostegia setosa	"['Conostegia hirsuta', 'Cryptophysa setosa']"	476975|Conostegia setosa	61266	Archaeplastida	Streptophyta	Magnoliopsida	Myrtales	Melastomataceae	Conostegia	Conostegia setosa
Costus speciosus|AE	costaceae	Costus	Costus speciosus	AE			49577|Costus speciosus		Archaeplastida	Streptophyta	Magnoliopsida	Zingiberales	Costaceae	Costus	Costus speciosus
Crescentia cujete|AE	bignoniaceae	Crescentia	crescentia cujete	AE	Crescentia cujete	"['Crescentia acuminata', 'Crescentia angustifolia', 'Crescentia arborea', 'Crescentia cujete puberula', 'Crescentia cuneifolia', 'Crescentia fasciculata', 'Crescentia latifolia', 'Crescentia plectantha', 'Crescentia pumila', 'Crescentia spathulata']"	1125401|Crescentia cujete	593986	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Bignoniaceae	Crescentia	Crescentia cujete
Crinum erubescens|L	amaryllidaceae	Crinum	crinum erubescens	L	Crinum erubescens	"['Amaryllis procera', 'Crinum attenuatum', 'Crinum commelinianum', 'Crinum commelyni', 'Crinum corantinum', 'Crinum corantynum', 'Crinum crucibulum', 'Crinum cruentum', 'Crinum cruentum albidum', 'Crinum dieterichii', 'Crinum erubescens berbicense', 'Crinum erubescens braziliense', 'Crinum erubescens caraccense', 'Crinum erubescens corantinum', 'Crinum erubescens majus', 'Crinum erubescens mexicanum', 'Crinum erubescens minus', 'Crinum erubescens octoflorum', 'Crinum erubescens rubrilimbum', 'Crinum erubescens viridifolium', 'Crinum gordonianum', 'Crinum guianense', 'Crinum inodorum', 'Crinum kunthianum', 'Crinum kunthianum nicaraguense', 'Crinum lanceanum', 'Crinum lancei', 'Crinum lindleyanum', 'Crinum loddigesianum', 'Crinum octoflorum', 'Crinum odoratissimum', 'Crinum revolutum', 'Crinum rubrilimbum', 'Crinum viridifolium']"	209093|Crinum erubescens	118208	Archaeplastida	Streptophyta	Magnoliopsida	Asparagales	Amaryllidaceae	Crinum	Crinum erubescens
Croton billbergianus|L	euphorbiaceae	Croton	croton billbergianus	L	Croton billbergianus	"['Croton billbergianus pyramidalis', 'Croton grosseri', 'Croton pyramidalis', 'Oxydectes billbergiana']"	425915|Croton billbergianus	597289	Archaeplastida	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Croton	Croton billbergianus
Cryptostegia madagascariensis|AE	asclepiadaceae	Cryptostegia	cryptostegia madagascariensis	AE	Cryptostegia madagascariensis	[]	413276|Cryptostegia madagascariensis	13701	Archaeplastida	Streptophyta	Magnoliopsida	Gentianales	Apocynaceae	Cryptostegia	Cryptostegia madagascariensis
Cuervea kappleriana|WP	hippocrateaceae	Cuervea	cuervea kappleriana	WP	Cuervea kappleriana	"['Anthodon apiculatum', 'Cuervea granatensis', 'Cuervea hawkesii', 'Cuervea jamaicensis', 'Cuervea latifolia', 'Cuervea megacarpa', 'Cuervea mitchellae', 'Hippocratea aggregata', 'Hippocratea ambigua', 'Hippocratea flava', 'Hippocratea granatensis', 'Hippocratea inundata', 'Hippocratea kappleriana', 'Hippocratea lutea', 'Hippocratea megacarpa', 'Hippocratea miersii', 'Hippocratea mitchellae', 'Hippocratea oblongata', 'Hylenaea jamaicensis', 'Pristimera apiculata', 'Pristimera granulosa', 'Pristimera oblongata', 'Romualdea apiculata', 'Romualdea lancifolia']"	123410|Cuervea kappleriana	806619	Archaeplastida	Streptophyta	Magnoliopsida	Celastrales	Celastraceae	Cuervea	Cuervea kappleriana
Cupania rufescens|AE	sapindaceae	Cupania	cupania rufescens	AE	Cupania rufescens	"['Cupania andina', 'Cupania asperula', 'Cupania costaricensis', 'Cupania fulvida']"	681429|Cupania rufescens	497072	Archaeplastida	Streptophyta	Magnoliopsida	Sapindales	Sapindaceae	Cupania	Cupania rufescens
Cymbopogon citratus|WP	poaceae	Cymbopogon	cymbopogon citratus	WP	Cymbopogon citratus	"['Andropogon ceriferus', 'Andropogon citratus', 'Andropogon citriodorus', 'Andropogon fragrans', 'Andropogon nardus ceriferus', 'Andropogon roxburghii']"	66014|Cymbopogon citratus	990862	Archaeplastida	Streptophyta	Magnoliopsida	Poales	Poaceae	Cymbopogon	Cymbopogon citratus
Cynometra hemitomophylla|AE	fabaceae/caes.	Cynometra	cynometra hemitomophylla	AE	Cynometra hemitomophylla	['Copaifera hemitomophylla']		3917092	Archaeplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Cynometra	Cynometra hemitomophylla
Cyperus ligularis|WP	cyperaceae	Cyperus	cyperus ligularis	WP	Cyperus ligularis	"['Cyperus callophorus', 'Cyperus coriaceus', 'Cyperus dissolutus', 'Cyperus glandulosus', 'Cyperus glaucoviridis', 'Cyperus ligularis spicatocapitatus', 'Cyperus punctatifolius', 'Cyperus rionensis', 'Cyperus sintenisii', 'Cyperus spicatocapitatus', 'Cyperus thyrsiflorus', 'Cyperus trigonus', 'Cyperus ubertus', 'Cyperus vulnerans', 'Mariscus coriaceus', 'Mariscus dissolutus', 'Mariscus glandulosus', 'Mariscus ligularis', 'Mariscus rufus']"	1125410|Cyperus ligularis	67631	Archaeplastida	Streptophyta	Magnoliopsida	Poales	Cyperaceae	Cyperus	Cyperus ligularis
Dahlia imperialis|AE	asteraceae	Dahlia	dahlia imperialis	AE	Dahlia imperialis	"['Dahlia dumicola', 'Dahlia lehmannii', 'Dahlia lehmannii leucantha', 'Dahlia maximiliana', 'Dahlia maxonii']"	101595|Dahlia imperialis	742905	Archaeplastida	Streptophyta	Magnoliopsida	Asterales	Asteraceae	Dahlia	Dahlia imperialis
Dalbergia brownei|WP	fabaceae/pap.	Dalbergia	dalbergia brownei	WP	Dalbergia brownei	"['Amerimnon brownei', 'Amerimnon brownii', 'Dalbergia amerimnum']"	418693|Dalbergia brownei	3926697	Archaeplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Dalbergia	Dalbergia brownei
Danaea nodosa|L	marattiaceae	Danaea	danaea nodosa	L	Danaea nodosa	"['Acrostichum nodosum', 'Asplenium nodosum', 'Danaea angustifolia', 'Danaea bicolor', 'Danaea cordata', 'Danaea elata', 'Danaea elliptica', 'Danaea erecta', 'Danaea latipinna', 'Danaea longicaudata', 'Danaea longifolia', 'Danaea nigrescens', 'Danaea nodosa angustifolia', 'Danaea nodosa intermedia', 'Danaea nodosa longifolia', 'Danaea sellowiana']"	491836|Danaea nodosa	891014	Archaeplastida	Streptophyta	Polypodiopsida	Marattiales	Marattiaceae	Danaea	Danaea nodosa
Delonix regia|AE	fabaceae/caes.	Delonix	delonix regia	AE	Delonix regia	"['Delonix regia flavida', 'Delonix regia genuina', 'Poinciana regia']"	72433|Delonix regia	348188	Archaeplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Delonix	Delonix regia
Desmodium heterocarpon|WP	fabaceae/pap.	Desmodium	desmodium heterocarpon	WP	Desmodium heterocarpon	"['Desmodium angulatum', 'Desmodium birmanicum', 'Desmodium buergeri', 'Desmodium buergeri patulepilosum', 'Desmodium gyroides', 'Desmodium heterocarpon buergeri', 'Desmodium heterocarpon patulepilosum', 'Desmodium heterocarpum', 'Desmodium heterophyllum buergeri', 'Desmodium oblongum', 'Desmodium ovalifolium', 'Desmodium patens', 'Desmodium polycarpum', 'Desmodium reticulatum', 'Desmodium retusum', 'Desmodium siliquosum', 'Desmodium toppinii', 'Hedysarum heterocarpon', 'Hedysarum polycarpum', 'Hedysarum siliquosum', 'Meibomia reticulata']"	499991|Desmodium heterocarpon	1012187	Archaeplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Desmodium	Desmodium heterocarpon
Dialium guianense|AE	fabaceae/caes.	Dialium	dialium guianense	AE	Dialium guianense	"['Arouna divaricata', 'Arouna guianensis', 'Aruna divaricata', 'Dialium acuminatum', 'Dialium divaricatum']"	149689|Dialium guianense	799964	Archaeplastida	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Dialium	Dialium guianense
Dichorisandra amabilis|WP	commelinaceae	Dichorisandra	dichorisandra amabilis	WP	Dichorisandra amabilis	[]	1125895|Dichorisandra amabilis	543882	Archaeplastida	Streptophyta	Magnoliopsida	Commelinales	Commelinaceae	Dichorisandra	Dichorisandra amabilis
Dicranopygium umbrophilum|WP	cyclanthaceae	Dicranopygium	dicranopygium umbrophilum	WP	Dicranopygium umbrophilum	[]		3968653	Archaeplastida	Streptophyta	Magnoliopsida	Pandanales	Cyclanthaceae	Dicranopygium	Dicranopygium umbrophilum
Dieffenbachia oerstedii|WP	araceae	Dieffenbachia	dieffenbachia oerstedii	WP	Dieffenbachia oerstedii	[]	418808|Dieffenbachia oerstedii	897966	Archaeplastida	Streptophyta	Magnoliopsida	Alismatales	Araceae	Dieffenbachia	Dieffenbachia oerstedii
Doliocarpus major|WP	dilleniaceae	Doliocarpus	doliocarpus major	WP	Doliocarpus major	"['Doliocarpus brevipedicellatus', 'Doliocarpus curtipes', 'Doliocarpus dentosus', 'Doliocarpus major major', 'Doliocarpus punctatus', 'Doliocarpus scandens', 'Doliocarpus spinulifer', 'Doliocarpus strictus', 'Tetracera doliocarpus', 'Tetracera stricta']"	640657|Doliocarpus major	151309	Archaeplastida	Streptophyta	Magnoliopsida	Dilleniales	Dilleniaceae	Doliocarpus	Doliocarpus major
Dracontium soconuscum|WP	araceae	Dracontium	dracontium soconuscum	WP	Dracontium soconuscum	['Dracontium dressleri']		3999167	Archaeplastida	Streptophyta	Magnoliopsida	Alismatales	Araceae	Dracontium	Dracontium soconuscum
Drymonia pilifera|WP	gesneriaceae	Drymonia	drymonia pilifera	WP	Drymonia pilifera	[]	352313|Drymonia pilifera	1039804	Archaeplastida	Streptophyta	Magnoliopsida	Lamiales	Gesneriaceae	Drymonia	Drymonia pilifera
Echinochloa polystachya|WP	poaceae	Echinochloa	echinochloa polystachya	WP	Echinochloa polystachya	"['Echinochloa polystachya spectabilis', 'Echinochloa spectabilis', 'Echinochloa spectalibis', 'Eulalia spectabilis', 'Oplismenus polystachyus', 'Oplismenus spectabilis', 'Orthopogon hirsutus', 'Panicum bonplandianum', 'Panicum phyllanthum', 'Panicum polystachyum', 'Panicum spectabile', 'Pollinia spectabilis', 'Pseudechinolaena spectabilis']"		3955621	Archaeplastida	Streptophyta	Magnoliopsida	Poales	Poaceae	Echinochloa	Echinochloa polystachya
Ehretia latifolia|AE	boraginaceae	Ehretia	ehretia latifolia	AE	Ehretia latifolia	"['Ehretia austin-smithii', 'Ehretia cordifolia', 'Ehretia luxiana', 'Ehretia mexicana', 'Ehretia tehuacana', 'Ehretia viscosa']"	163082|Ehretia latifolia	268952	Archaeplastida	Streptophyta	Magnoliopsida	Boraginales	Ehretiaceae	Ehretia	Ehretia latifolia
